t,v,a,k
0,0,6,1
0.05,0.3,5.98102,1
0.1,0.599051,5.96194,1
0.15,0.897148,5.94276,1
0.2,1.19429,5.92347,1
0.25,1.49046,5.90409,1
0.3,1.78566,5.8846,1
0.35,2.07989,5.865,1
0.4,2.37314,5.84531,1
0.45,2.66541,5.82551,1
0.5,2.95669,5.80562,1
0.55,3.24697,5.78562,1
0.6,3.53625,5.76553,1
0.65,3.82452,5.74533,1
0.7,4.11179,5.72503,1
0.75,4.39804,5.70464,1
0.8,4.68327,5.68415,1
0.85,4.96748,5.66356,1
0.9,5.25066,5.64287,1
0.95,5.5328,5.62208,1
1,5.81391,5.6012,1
1.05,6.09397,5.58023,1
1.1,6.37298,5.55915,1
1.15,6.65094,5.53799,1
1.2,6.92784,5.51673,1
1.25,7.20367,5.49538,1
1.3,7.47844,5.47393,1
1.35,7.75214,5.45239,1
1.4,8.02476,5.43077,1
1.45,8.2963,5.40905,1
1.5,8.56675,5.38724,1
1.55,8.83611,5.36535,1
1.6,9.10438,5.34337,1
1.65,9.37155,5.3213,1
1.7,9.63761,5.29914,1
1.75,9.90257,5.2769,1
1.8,10.1664,5.25458,1
1.85,10.4291,5.23217,1
1.9,10.6908,5.20969,1
1.95,10.9512,5.18712,1
2,11.2106,5.16447,1
2.05,11.4688,5.14174,1
2.1,11.7259,5.11894,1
2.15,11.9818,5.09605,1
2.2,12.2367,5.0731,1
2.25,12.4903,5.05007,1
2.3,12.7428,5.02696,1
2.35,12.9942,5.00379,1
2.4,13.2443,4.98054,1
2.45,13.4934,4.95723,1
2.5,13.7412,4.93384,1
2.55,13.9879,4.9104,1
2.6,14.2334,4.88688,1
2.65,14.4778,4.8633,1
2.7,14.721,4.83966,1
2.75,14.9629,4.81596,1
2.8,15.2037,4.79219,1
2.85,15.4433,4.76837,1
2.9,15.6818,4.7445,1
2.95,15.919,4.72056,1
3,16.155,4.69657,1
3.05,16.3898,4.67253,1
3.1,16.6235,4.64844,1
3.15,16.8559,4.6243,1
3.2,17.0871,4.60012,1
3.25,17.3171,4.57588,1
3.3,17.5459,4.5516,1
3.35,17.7735,4.52728,1
3.4,17.9999,4.50292,1
3.45,18.225,4.47851,1
3.5,18.4489,4.45407,1
3.55,18.6716,4.42959,1
3.6,18.8931,4.40508,1
3.65,19.1134,4.38054,1
3.7,19.3324,4.35596,1
3.75,19.5502,4.33135,1
3.8,19.7668,4.30672,1
3.85,19.9821,4.28206,1
3.9,20.1962,4.25737,1
3.95,20.4091,4.23267,1
4,20.6207,4.20794,1
4.05,20.8311,4.18319,1
4.1,21.0403,4.15843,1
4.15,21.2482,4.13365,1
4.2,21.4549,4.10885,1
4.25,21.6603,4.08405,1
4.3,21.8645,4.05923,1
4.35,22.0675,4.03441,1
4.4,22.2692,4.00958,1
4.45,22.4697,3.98475,1
4.5,22.6689,3.95991,1
4.55,22.8669,3.93508,1
4.6,23.0636,3.91024,1
4.65,23.2592,3.88541,1
4.7,23.4534,3.86058,1
4.75,23.6465,3.83576,1
4.8,23.8382,3.81095,1
4.85,24.0288,3.78615,1
4.9,24.2181,3.76136,1
4.95,24.4062,3.73658,1
5,24.593,3.71183,1
5.05,24.7786,3.68709,1
5.1,24.9629,3.66236,1
5.15,25.1461,3.63767,1
5.2,25.3279,3.61299,1
5.25,25.5086,3.58834,1
5.3,25.688,3.56372,1
5.35,25.8662,3.53913,1
